UF,Código do Município,Município,Ano,Mes,Periodo,Periodo_dt,Valor
RJ,330330.0,Rj-Niteroi,2020,1,Janeiro/2020,2020-01-01,148409.0
RJ,330330.0,Rj-Niteroi,2020,2,Fevereiro/2020,2020-02-01,148744.0
RJ,330330.0,Rj-Niteroi,2020,3,Março/2020,2020-03-01,146967.0
RJ,330330.0,Rj-Niteroi,2020,4,Abril/2020,2020-04-01,143162.0
RJ,330330.0,Rj-Niteroi,2020,5,Maio/2020,2020-05-01,141407.0
RJ,330330.0,Rj-Niteroi,2020,6,Junho/2020,2020-06-01,140801.0
RJ,330330.0,Rj-Niteroi,2020,7,Julho/2020,2020-07-01,140424.0
RJ,330330.0,Rj-Niteroi,2020,8,Agosto/2020,2020-08-01,140669.0
RJ,330330.0,Rj-Niteroi,2020,9,Setembro/2020,2020-09-01,141263.0
RJ,330330.0,Rj-Niteroi,2020,10,Outubro/2020,2020-10-01,141598.0
RJ,330330.0,Rj-Niteroi,2020,11,Novembro/2020,2020-11-01,143353.0
RJ,330330.0,Rj-Niteroi,2020,12,Dezembro/2020,2020-12-01,143770.0
RJ,330330.0,Rj-Niteroi,2021,1,Janeiro/2021,2021-01-01,143898.0
RJ,330330.0,Rj-Niteroi,2021,2,Fevereiro/2021,2021-02-01,144525.0
RJ,330330.0,Rj-Niteroi,2021,3,Março/2021,2021-03-01,145135.0
RJ,330330.0,Rj-Niteroi,2021,4,Abril/2021,2021-04-01,145135.0
RJ,330330.0,Rj-Niteroi,2021,5,Maio/2021,2021-05-01,145617.0
RJ,330330.0,Rj-Niteroi,2021,6,Junho/2021,2021-06-01,146681.0
RJ,330330.0,Rj-Niteroi,2021,7,Julho/2021,2021-07-01,147717.0
RJ,330330.0,Rj-Niteroi,2021,8,Agosto/2021,2021-08-01,149042.0
RJ,330330.0,Rj-Niteroi,2021,9,Setembro/2021,2021-09-01,149846.0
RJ,330330.0,Rj-Niteroi,2021,10,Outubro/2021,2021-10-01,150646.0
RJ,330330.0,Rj-Niteroi,2021,11,Novembro/2021,2021-11-01,152775.0
RJ,330330.0,Rj-Niteroi,2021,12,Dezembro/2021,2021-12-01,153500.0
RJ,330330.0,Rj-Niteroi,2022,1,Janeiro/2022,2022-01-01,153202.0
RJ,330330.0,Rj-Niteroi,2022,2,Fevereiro/2022,2022-02-01,154671.0
RJ,330330.0,Rj-Niteroi,2022,3,Março/2022,2022-03-01,155740.0
RJ,330330.0,Rj-Niteroi,2022,4,Abril/2022,2022-04-01,156954.0
RJ,330330.0,Rj-Niteroi,2022,5,Maio/2022,2022-05-01,157564.0
RJ,330330.0,Rj-Niteroi,2022,6,Junho/2022,2022-06-01,158563.0
RJ,330330.0,Rj-Niteroi,2022,7,Julho/2022,2022-07-01,159097.0
RJ,330330.0,Rj-Niteroi,2022,8,Agosto/2022,2022-08-01,159989.0
RJ,330330.0,Rj-Niteroi,2022,9,Setembro/2022,2022-09-01,160941.0
RJ,330330.0,Rj-Niteroi,2022,10,Outubro/2022,2022-10-01,161475.0
RJ,330330.0,Rj-Niteroi,2022,11,Novembro/2022,2022-11-01,161973.0
RJ,330330.0,Rj-Niteroi,2022,12,Dezembro/2022,2022-12-01,161674.0
RJ,330330.0,Rj-Niteroi,2023,1,Janeiro/2023,2023-01-01,161024.0
RJ,330330.0,Rj-Niteroi,2023,2,Fevereiro/2023,2023-02-01,160436.0
RJ,330330.0,Rj-Niteroi,2023,3,Março/2023,2023-03-01,161081.0
RJ,330330.0,Rj-Niteroi,2023,4,Abril/2023,2023-04-01,162376.0
RJ,330330.0,Rj-Niteroi,2023,5,Maio/2023,2023-05-01,162598.0
RJ,330330.0,Rj-Niteroi,2023,6,Junho/2023,2023-06-01,163233.0
RJ,330330.0,Rj-Niteroi,2023,7,Julho/2023,2023-07-01,162938.0
RJ,330330.0,Rj-Niteroi,2023,8,Agosto/2023,2023-08-01,163336.0
RJ,330330.0,Rj-Niteroi,2023,9,Setembro/2023,2023-09-01,164912.0
RJ,330330.0,Rj-Niteroi,2023,10,Outubro/2023,2023-10-01,165227.0
RJ,330330.0,Rj-Niteroi,2023,11,Novembro/2023,2023-11-01,166388.0
RJ,330330.0,Rj-Niteroi,2023,12,Dezembro/2023,2023-12-01,165629.0
RJ,330330.0,Rj-Niteroi,2024,1,Janeiro/2024,2024-01-01,166217.0
RJ,330330.0,Rj-Niteroi,2024,2,Fevereiro/2024,2024-02-01,167033.0
RJ,330330.0,Rj-Niteroi,2024,3,Março/2024,2024-03-01,168685.0
RJ,330330.0,Rj-Niteroi,2024,4,Abril/2024,2024-04-01,169336.0
RJ,330330.0,Rj-Niteroi,2024,5,Maio/2024,2024-05-01,170061.0
RJ,330330.0,Rj-Niteroi,2024,6,Junho/2024,2024-06-01,171176.0
RJ,330330.0,Rj-Niteroi,2024,7,Julho/2024,2024-07-01,171625.0
RJ,330330.0,Rj-Niteroi,2024,8,Agosto/2024,2024-08-01,172287.0
RJ,330330.0,Rj-Niteroi,2024,9,Setembro/2024,2024-09-01,173113.0
RJ,330330.0,Rj-Niteroi,2024,10,Outubro/2024,2024-10-01,173721.0
RJ,330330.0,Rj-Niteroi,2024,11,Novembro/2024,2024-11-01,174718.0
RJ,330330.0,Rj-Niteroi,2024,12,Dezembro/2024,2024-12-01,173240.0
RJ,330330.0,Rj-Niteroi,2025,1,Janeiro/2025,2025-01-01,172075.0
RJ,330330.0,Rj-Niteroi,2025,2,Fevereiro/2025,2025-02-01,172543.0
RJ,330330.0,Rj-Niteroi,2025,3,Março/2025,2025-03-01,171445.0
RJ,330330.0,Rj-Niteroi,2025,4,Abril/2025,2025-04-01,171976.0
RJ,330330.0,Rj-Niteroi,2025,5,Maio/2025,2025-05-01,172273.0
RJ,330330.0,Rj-Niteroi,2025,6,Junho/2025,2025-06-01,173084.0
RJ,330330.0,Rj-Niteroi,2025,7,Julho/2025,2025-07-01,172879.0
,,,2025,8,Agosto/2025,2025-08-01,
,,,2025,9,Setembro/2025,2025-09-01,
,,,2025,10,Outubro/2025,2025-10-01,
,,,2025,11,Novembro/2025,2025-11-01,
,,,2025,12,Dezembro/2025,2025-12-01,
